Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude,Listing Type
https://www.zillow.com/homedetails/1036-7th-St-West-Elizabeth-PA-15088/246260174_zpid/,,,70000,,2868,113300.0,06/30/2023,,,,9844.56,sqft,7.11,7.0,3.0,,Rick Brown,No,No,,1036 7th St,West Elizabeth,15088,PA,USA,40.270885,-79.901566,multi
https://www.zillow.com/homedetails/728-9th-Ave-Brackenridge-PA-15014/11280257_zpid/,,,75000,75200.0,1150,49500.0,06/28/2023,,,,2295.61,sqft,32.67,3.0,2.0,,Tim Pettigrew,No,No,,728 9th Ave,Brackenridge,15014,PA,USA,40.607166,-79.74792,multi
https://www.zillow.com/homedetails/115-McCutcheon-Ln-Pittsburgh-PA-15235/11415591_zpid/,,,60000,137700.0,1427,60900.0,06/28/2023,1240.0,sqft,48.39,2304.0,sqft,26.04,3.0,2.0,,,No,No,,115 McCutcheon Ln,Pittsburgh,15235,PA,USA,40.465923,-79.85276,multi
https://www.zillow.com/homedetails/1111-Jefferson-St-McKeesport-PA-15132/11461628_zpid/,,,82000,82300.0,1494,64800.0,06/28/2023,2000.0,sqft,41.0,4000.0,sqft,20.5,4.0,2.0,,,No,No,,1111 Jefferson St,McKeesport,15132,PA,USA,40.347935,-79.83464,multi
https://www.zillow.com/homedetails/1111-1113-Jefferson-St-McKeesport-PA-15132/2057417467_zpid/,,,82000,,1099,,06/27/2023,,,,3998.81,sqft,20.51,4.0,2.0,,Jamie Cole,No,No,,1111-1113 Jefferson St,McKeesport,15132,PA,USA,,,multi
https://www.zillow.com/homedetails/405-2nd-Ave-Carnegie-PA-15106/11254110_zpid/,,,26000,,1999,86000.0,06/26/2023,3106.0,sqft,8.37,5520.0,sqft,4.71,5.0,2.0,,,No,No,,405 2nd Ave,Carnegie,15106,PA,USA,40.40234,-80.09074,multi
https://www.zillow.com/homedetails/1317-Brinton-Ave-Braddock-PA-15104/11457641_zpid/,,,56677,56900.0,2094,36100.0,06/26/2023,1995.0,sqft,28.41,2875.0,sqft,19.71,4.0,3.0,,,No,No,,1317 Brinton Ave,Braddock,15104,PA,USA,40.40529,-79.84365,multi
https://www.zillow.com/homedetails/2906-Clermont-Ave-Pittsburgh-PA-15227/11303793_zpid/,,,72500,173000.0,1550,82800.0,06/22/2023,1748.0,sqft,41.48,2278.0,sqft,31.83,4.0,2.0,,,No,No,,2906 Clermont Ave,Pittsburgh,15227,PA,USA,40.38253,-79.97599,multi
https://www.zillow.com/homedetails/128-Rochelle-St-Pittsburgh-PA-15210/11317041_zpid/,,,9734,21100.0,2328,6200.0,06/22/2023,3456.0,sqft,2.82,7500.0,sqft,1.3,,3.0,,,No,No,,128 Rochelle St,Pittsburgh,15210,PA,USA,40.414925,-79.98957,multi
https://www.zillow.com/homedetails/626-Versailles-Ave-McKeesport-PA-15132/11425584_zpid/,,,87000,95800.0,900,33000.0,06/22/2023,1000.0,sqft,87.0,4704.0,sqft,18.49,2.0,1.0,,,No,No,,626 Versailles Ave,McKeesport,15132,PA,USA,40.34684,-79.85852,multi
https://www.zillow.com/homedetails/1155-Buente-St-Pittsburgh-PA-15212/2122132884_zpid/,,,92000,102900.0,874,,05/07/2021,1167.0,sqft,78.83,4399.0,sqft,20.91,,,,,No,No,,1155 Buente St,Pittsburgh,15212,PA,USA,40.4661,-79.9934,multi
https://www.zillow.com/homedetails/550-Russellwood-Ave-Mc-Kees-Rocks-PA-15136/11594122_zpid/,,,50000,50200.0,1550,25000.0,06/22/2023,1876.0,sqft,26.65,2400.0,sqft,20.83,2.0,2.0,,,No,No,,550 Russellwood Ave,Mc Kees Rocks,15136,PA,USA,40.47117,-80.07275,multi
https://www.zillow.com/homedetails/1446-Electric-Ave-East-Pittsburgh-PA-15112/11457747_zpid/,,,90000,,1200,25200.0,06/21/2023,,,,2421.94,sqft,37.16,4.0,2.0,,Joseph Kasyan,No,No,,1446 Electric Ave,East Pittsburgh,15112,PA,USA,40.40529,-79.83923,multi
https://www.zillow.com/homedetails/558-W-7th-Ave-Homestead-PA-15120/11640428_zpid/,,,46000,46200.0,1488,19100.0,06/20/2023,,,,1677.06,sqft,27.43,2.0,2.0,,Mary Frances Miller,No,No,,558 W 7th Ave,Homestead,15120,PA,USA,40.399254,-79.92143,multi
https://www.zillow.com/homedetails/1529-Swissvale-Ave-Pittsburgh-PA-15221/11379041_zpid/,,,50000,,1562,32400.0,06/16/2023,2416.0,sqft,20.7,2700.0,sqft,18.52,6.0,2.0,,,No,No,,1529 Swissvale Ave,Pittsburgh,15221,PA,USA,40.446495,-79.8752,multi
https://www.zillow.com/homedetails/2624-Woodstock-Ave-UNIT-6-K-Pittsburgh-PA-15218/11383676_zpid/,,,50000,114000.0,1249,59700.0,06/16/2023,1300.0,sqft,38.46,1582.0,sqft,31.61,2.0,2.0,,,No,No,Unit 6-K,2624 Woodstock Ave UNIT 6-K,Pittsburgh,15218,PA,USA,40.414112,-79.874756,multi
https://www.zillow.com/homedetails/371-Antenor-Ave-Pittsburgh-PA-15210/11648300_zpid/,,,45000,,1492,78700.0,06/16/2023,2132.0,sqft,21.11,5000.0,sqft,9.0,4.0,2.0,,,No,No,,371 Antenor Ave,Pittsburgh,15210,PA,USA,40.385597,-79.988914,multi
