Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude,Listing Type
https://www.zillow.com/homedetails/5900-Babcock-Blvd-APT-16-Pittsburgh-PA-15237/11522307_zpid/,,,56000,99500.0,950,39600.0,07/10/2023,740.0,sqft,75.68,2.12,acres,26427.74,1.0,1.0,,,No,No,Apt 16,5900 Babcock Blvd APT 16,Pittsburgh,15237,PA,USA,40.54927,-80.02673,condos
https://www.zillow.com/homedetails/553-Sloop-Rd-APT-29-Pittsburgh-PA-15237/11589498_zpid/,,,125000,125300.0,977,62600.0,07/10/2023,756.0,sqft,165.34,605.48,sqft,206.45,1.0,1.0,,Karen Minnitte,No,No,Apt 29,553 Sloop Rd APT 29,Pittsburgh,15237,PA,USA,40.565693,-80.054634,condos
https://www.zillow.com/homedetails/520-Washington-Rd-APT-505-Pittsburgh-PA-15228/11311114_zpid/,,,119500,119800.0,997,73400.0,07/07/2023,673.0,sqft,177.56,,,,1.0,1.0,,Mary Zavodszky,No,No,Apt 505,520 Washington Rd APT 505,Pittsburgh,15228,PA,USA,40.38361,-80.044075,condos
https://www.zillow.com/homedetails/7251-Beacon-Hill-Dr-Pittsburgh-PA-15221/11418365_zpid/,,,125500,165600.0,1391,58400.0,07/07/2023,1395.0,sqft,89.96,871.2,sqft,144.05,2.0,2.0,,Roxanne Humes,No,No,,7251 Beacon Hill Dr,Pittsburgh,15221,PA,USA,40.44263,-79.86424,condos
https://www.zillow.com/homedetails/337-Old-Gilkeson-Rd-Pittsburgh-PA-15228/11397916_zpid/,,,125000,125300.0,1529,119000.0,07/05/2023,1368.0,sqft,91.37,1200.0,sqft,104.17,2.0,1.5,,,No,No,,337 Old Gilkeson Rd,Pittsburgh,15228,PA,USA,40.360428,-80.06136,condos
https://www.zillow.com/homedetails/2034-Swallow-Hill-Rd-APT-324-Pittsburgh-PA-15220/11577336_zpid/,,,70000,70300.0,1164,72300.0,07/03/2023,816.0,sqft,85.78,816.0,sqft,85.78,2.0,1.0,,,No,No,Apt 324,2034 Swallow Hill Rd APT 324,Pittsburgh,15220,PA,USA,40.39917,-80.07738,condos
https://www.zillow.com/homedetails/2465-Brook-Ledge-Rd-APT-24A-Bridgeville-PA-15017/59856798_zpid/,,,110000,110300.0,1200,48600.0,06/30/2023,,,,,,,2.0,1.0,,Roseann Vamos,No,No,Apt 24A,2465 Brook Ledge Rd APT 24A,Bridgeville,15017,PA,USA,40.32761,-80.12095,condos
https://www.zillow.com/homedetails/1160-Bower-Hill-Rd-APT-714A-Pittsburgh-PA-15243/2059221480_zpid/,,,126500,,1898,,06/30/2023,,,,,,,2.0,2.0,,Brad Templeton,No,No,Apt 714A,1160 Bower Hill Rd APT 714A,Pittsburgh,15243,PA,USA,40.377148,-80.06981,condos
https://www.zillow.com/homedetails/1987-Centurion-Dr-APT-111-Pittsburgh-PA-15221/2076103229_zpid/,,,75000,,1298,,06/30/2023,514.0,sqft,145.91,,sqft,,1.0,1.0,,Deborah Kane,No,No,Apt 111,1987 Centurion Dr APT 111,Pittsburgh,15221,PA,USA,40.422855,-79.85321,condos
https://www.zillow.com/homedetails/842-Thorn-St-APT-58-Sewickley-PA-15143/59837493_zpid/,,,99000,99300.0,1044,40600.0,06/28/2023,481.0,sqft,205.82,,,,1.0,1.0,,Jill Stehnach,No,No,Apt 58,842 Thorn St APT 58,Sewickley,15143,PA,USA,40.534004,-80.17802,condos
https://www.zillow.com/homedetails/4625-5th-Ave-APT-208-Pittsburgh-PA-15213/2061198208_zpid/,,,110000,,1725,,06/26/2023,865.0,sqft,127.17,,,,2.0,1.0,,Sheila Finch,No,No,Apt 208,4625 5th Ave APT 208,Pittsburgh,15213,PA,USA,40.447445,-79.948006,condos
https://www.zillow.com/homedetails/112-Washington-Pl-APT-8K-Pittsburgh-PA-15219/11420585_zpid/,,,110000,110500.0,999,70700.0,06/22/2023,528.0,sqft,208.33,10585.0,sqft,10.39,,1.0,,,No,No,Apt 8K,112 Washington Pl APT 8K,Pittsburgh,15219,PA,USA,40.43965,-79.99214,condos
https://www.zillow.com/homedetails/960-Chatham-Park-Dr-APT-D-Pittsburgh-PA-15216/59835892_zpid/,,,96712,97100.0,1225,79600.0,06/22/2023,996.0,sqft,97.1,996.0,sqft,97.1,2.0,1.0,,,No,No,Apt D,960 Chatham Park Dr APT D,Pittsburgh,15216,PA,USA,40.39478,-80.057556,condos
https://www.zillow.com/homedetails/166-N-Dithridge-St-APT-4L-Pittsburgh-PA-15213/11407667_zpid/,,,102000,102500.0,1270,60900.0,06/16/2023,454.0,sqft,224.67,200.38,sqft,509.04,,1.0,,Lori Hummel,No,No,Apt 4L,166 N Dithridge St APT 4L,Pittsburgh,15213,PA,USA,40.448753,-79.951164,condos
https://www.zillow.com/homedetails/603-Calais-Dr-APT-2106-Pittsburgh-PA-15237/11589355_zpid/,,,124900,126900.0,950,63500.0,06/16/2023,772.0,sqft,161.79,,sqft,,1.0,1.0,,Cindy Rezabeck,No,No,Apt 2106,603 Calais Dr APT 2106,Pittsburgh,15237,PA,USA,40.567482,-80.053246,condos
https://www.zillow.com/homedetails/595-Calais-Dr-APT-313-Pittsburgh-PA-15237/11589638_zpid/,,,125000,125700.0,974,59100.0,06/16/2023,740.0,sqft,168.92,,,,1.0,1.0,,Karen Minnitte,No,No,Apt 313,595 Calais Dr APT 313,Pittsburgh,15237,PA,USA,40.566864,-80.05396,condos
https://www.zillow.com/homedetails/1150-Bower-Hill-Rd-APT-303B-Pittsburgh-PA-15243/2059216592_zpid/,,,101000,,1884,,06/14/2023,,,,,,,2.0,1.0,,Linda Lee Foltz,No,No,Apt 303B,1150 Bower Hill Rd APT 303B,Pittsburgh,15243,PA,USA,40.37623,-80.07027,condos
https://www.zillow.com/homedetails/112-Washington-Pl-APT-4L-Pittsburgh-PA-15219/2089806454_zpid/,,,122000,,1342,,06/09/2023,549.0,sqft,222.22,,,,,1.0,,Dev Meyers,No,No,Apt 4L,112 Washington Pl APT 4L,Pittsburgh,15219,PA,USA,40.439552,-79.99235,condos
