Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude,Listing Type
https://www.zillow.com/homedetails/117-College-Park-Dr-Coraopolis-PA-15108/11584174_zpid/,,,127500,139400.0,1864,61700.0,08/01/2023,1320.0,sqft,96.59,583.7,sqft,218.43,3.0,2.0,,Jeffrey Hrapla,No,No,,117 College Park Dr,Coraopolis,15108,PA,USA,40.519894,-80.222275,townhouses
https://www.zillow.com/homedetails/128-Ligonier-Ct-New-Kensington-PA-15068/11596292_zpid/,,,158000,158000.0,1299,77300.0,07/31/2023,992.0,sqft,159.27,1285.02,sqft,122.96,2.0,2.0,,Melissa Blazer,No,No,,128 Ligonier Ct,New Kensington,15068,PA,USA,40.528606,-79.77673,townhouses
https://www.zillow.com/homedetails/1036-Pennsylvania-Ave-Clairton-PA-15025/11576257_zpid/,,,39900,,914,23900.0,07/28/2023,,,,1306.8,sqft,30.53,2.0,1.0,,Maureen States,No,No,,1036 Pennsylvania Ave,Clairton,15025,PA,USA,40.31152,-79.89813,townhouses
https://www.zillow.com/homedetails/3252-Camberly-Dr-Gibsonia-PA-15044/11299003_zpid/,,,150000,149800.0,1329,109000.0,07/27/2023,1218.0,sqft,123.15,2962.08,sqft,50.64,2.0,2.0,,Erin Autenreith,No,No,,3252 Camberly Dr,Gibsonia,15044,PA,USA,40.61458,-79.93239,townhouses
https://www.zillow.com/homedetails/1413-Princeton-Blvd-Pittsburgh-PA-15221/11379656_zpid/,,,135000,135000.0,1307,38100.0,07/27/2023,1040.0,sqft,129.81,1498.46,sqft,90.09,3.0,1.0,,Maria Werner,No,No,,1413 Princeton Blvd,Pittsburgh,15221,PA,USA,40.443523,-79.87102,townhouses
https://www.zillow.com/homedetails/1144-Park-Ave-East-Mc-Keesport-PA-15035/11537939_zpid/,,,111000,123900.0,932,54400.0,07/27/2023,1000.0,sqft,111.0,1219.0,sqft,91.06,2.0,1.0,,,No,No,,1144 Park Ave,East Mc Keesport,15035,PA,USA,40.380436,-79.80826,townhouses
https://www.zillow.com/homedetails/2311-Firethorn-Rd-Bridgeville-PA-15017/59856690_zpid/,,,160000,168500.0,1848,111300.0,07/25/2023,,,,1873.08,sqft,85.42,3.0,3.0,,Lisa Jackson,No,No,,2311 Firethorn Rd,Bridgeville,15017,PA,USA,40.32394,-80.12271,townhouses
https://www.zillow.com/homedetails/58-Ohio-St-Mc-Kees-Rocks-PA-15136/11268009_zpid/,,,37000,37000.0,999,22000.0,07/21/2023,1072.0,sqft,34.51,1742.4,sqft,21.24,2.0,1.0,,Kim Bradley,No,No,,58 Ohio St,Mc Kees Rocks,15136,PA,USA,40.483337,-80.06192,townhouses
https://www.zillow.com/homedetails/144-22nd-St-Pittsburgh-PA-15215/11334875_zpid/,,,105000,104900.0,1370,75300.0,07/20/2023,1404.0,sqft,74.79,1681.42,sqft,62.45,3.0,1.0,,Jay Arnone,No,No,,144 22nd St,Pittsburgh,15215,PA,USA,40.494724,-79.914734,townhouses
https://www.zillow.com/homedetails/243-Coxcomb-Hill-Rd-New-Kensington-PA-15068/59838121_zpid/,,,125000,125200.0,1466,99500.0,07/20/2023,1135.0,sqft,110.13,1176.0,sqft,106.29,2.0,1.5,,,No,No,,243 Coxcomb Hill Rd,New Kensington,15068,PA,USA,40.5296,-79.77794,townhouses
